iter	Passed	Remaining
647	24205	13148
648	24242	13111
649	24279	13073
650	24316	13036
651	24357	13000
652	24396	12964
653	24435	12927
654	24471	12889
655	24509	12852
656	24545	12814
657	24582	12776
658	24620	12740
659	24657	12702
660	24695	12665
661	24732	12627
662	24769	12590
663	24804	12551
664	24842	12514
665	24879	12477
666	24916	12439
667	24954	12402
668	24991	12364
669	25029	12327
670	25066	12290
671	25103	12253
672	25142	12216
673	25181	12179
674	25219	12142
675	25255	12104
676	25294	12068
677	25332	12031
678	25370	11994
679	25407	11956
680	25443	11918
681	25479	11880
682	25516	11843
683	25554	11805
684	25591	11768
685	25628	11730
686	25664	11692
687	25701	11655
688	25738	11617
689	25775	11580
690	25810	11541
691	25849	11505
692	25885	11467
693	25922	11429
694	25958	11391
695	25996	11354
696	26034	11317
697	26071	11280
698	26109	11242
699	26145	11205
700	26181	11167
701	26219	11130
702	26255	11092
703	26290	11054
704	26327	11016
705	26362	10978
706	26401	10941
707	26438	10903
708	26473	10865
709	26510	10828
710	26548	10791
711	26585	10753
712	26623	10716
713	26660	10679
714	26697	10641
715	26734	10604
716	26769	10565
717	26807	10528
718	26841	10490
719	26877	10452
720	26914	10414
721	26951	10377
722	26988	10340
723	27027	10303
724	27063	10265
725	27100	10227
726	27136	10190
727	27173	10152
728	27210	10115
729	27247	10077
730	27285	10040
731	27320	10002
732	27357	9965
733	27395	9928
734	27438	9892
735	27482	9857
736	27520	9820
737	27556	9782
738	27593	9745
739	27630	9708
740	27665	9669
741	27706	9633
742	27743	9596
743	27780	9558
744	27816	9521
745	27851	9483
746	27888	9445
747	27925	9407
748	27962	9370
749	27999	9333
750	28036	9295
751	28073	9258
752	28109	9220
753	28144	9182
754	28181	9144
755	28217	9107
756	28254	9069
757	28289	9031
758	28327	8994
759	28365	8957
760	28401	8919
761	28440	8882
762	28476	8845
763	28513	8807
764	28551	8770
765	28586	8732
766	28623	8695
767	28658	8657
768	28695	8619
769	28732	8582
770	28769	8544
771	28808	8508
772	28844	8470
